Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,347192.05081173556,310065.04735611007,234744.24219064345,0.6483035779057107
mesh_median_ppsqm_lag4,55321.0220563889,46817.18244859403,41856.55821190624,0.10329964769845872
mesh_median_ppsqm_growth_qoq,44978.132287236156,30139.275047657204,42729.617744516116,0.08398661208157458
mesh_median_ppsqm_lag1,40405.76933407884,35251.623804525356,27169.836565571106,0.07544874592051208
mesh_median_ppsqm_growth_yoy,18477.755920843403,13800.673805497836,15525.861043132956,0.03450308049145662
mesh_median_ppsqm_std4q,13458.715592483659,12628.890831950303,11387.037524631576,0.025131144138302385
mesh_transaction_count,6511.399620839796,5342.686868381295,5884.596549630129,0.012158583877409555
MeshHedonicIndex,2537.9325363653275,1975.957684648919,2500.3806057954753,0.00473902193314082
TimeTrend,2196.4434329184674,2500.831909964513,830.8452994028638,0.004101367335165994
Ward_encoded,1626.2493239295723,1608.2893207083616,1023.2213643608795,0.0030366572414469804
mesh_avg_area,1542.7897613424507,1511.0337576615245,1235.8864702850053,0.0028808151566147556
mesh_avg_age,1235.2485150996376,849.3429962284272,1068.3339734389267,0.00230655059662081
WardHedonicIndex,55.80085236514301,41.92613359675124,54.59229923659172,0.00010419562358622916
WardHedonicIndex_missing,2.90834023530806e-13,0.0,1.120614222007757e-12,5.430675546600445e-19
MeshHedonicIndex_missing,1.8531842727043113e-13,0.0,7.925035313070259e-13,3.460407551681732e-19
