Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,249176.83042212785,263196.7726269888,139663.00257309654,0.6552914572183977
MedianPriceSqM_lag1,86900.47627939239,93976.06971695539,39668.556063219374,0.2285330447362448
MedianPriceSqM_lag4,16600.598744065035,15586.90585367916,7021.431347909044,0.043656669535717195
MedianPriceSqM_growth_qoq,14074.45691267646,12550.440449888527,10841.336068620607,0.03701335860256725
MedianPriceSqM_growth_yoy,5659.6749386217825,4982.504535602409,4336.096394051037,0.014883954626234635
TimeTrend,2520.2277849840543,1197.502937224558,3542.596813253597,0.006627758026084264
AvgArea,1542.0726671930865,962.9351308490523,1756.938111100933,0.004055381246762507
MedianPriceSqM_std4q,1123.9304149664124,812.2069915341983,1145.2210836339464,0.0029557402997209587
AvgBuildingAge,955.4217822652388,629.115146339253,882.2753313656739,0.0025125920853000332
TransactionCount,770.1480012383325,562.1248028110292,952.3695754626934,0.00202535446474034
Ward_encoded,342.2841647489805,218.80183158243318,314.4069291394187,0.0009001474523982195
ActiveMeshes,256.3894303874845,193.35283956968863,240.49256700299424,0.0006742593328977898
Q_4,176.82230114844018,137.45277821815733,153.6230025315508,0.00046501170751701637
Q_2,80.31287088233154,50.25575092741448,100.24721587654342,0.0002112087953952979
Q_3,73.79269353388045,51.804494815774504,77.90899238862023,0.00019406187002205715
