Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,329470.3980705694,340367.03139795735,176206.90573369572,0.8688235850922759
MedianPriceSqM_lag1,18416.626232395694,15294.551979737387,8683.417288395885,0.04856521047789933
MedianPriceSqM_lag4,14032.488861720174,9713.74071326335,7667.510791920924,0.03700410523070966
MedianPriceSqM_growth_qoq,9231.525924454227,9039.574209703567,6214.490087806624,0.02434381812911362
MedianPriceSqM_growth_yoy,5105.832346557256,4561.340441649524,4026.06427853351,0.013464237121739293
MedianPriceSqM_std4q,800.3195775697185,520.6419857700124,892.6291066942697,0.0021104673702877674
TimeTrend,448.5997683076609,273.14103320155994,462.65986142478783,0.001182971402757539
AvgBuildingAge,414.73224260833973,328.43034471519263,420.4788086386618,0.0010936616946058935
AvgArea,392.3406182951745,226.01076075733266,470.7052069923642,0.0010346142917869107
TransactionCount,251.30405402351423,206.08586923336196,211.92478166455612,0.0006626965288643822
ActiveMeshes,251.28493283494618,134.456949571603,299.9737097294884,0.0006626461057013297
Q_2,125.58903414485226,60.84312639235996,232.79426409700775,0.000331182150302424
Ward_encoded,115.07727641791472,49.74868179917766,220.01666525430517,0.00030346232148799096
Q_4,114.63501760040019,52.99648731118308,236.1561163240652,0.00030229607136773173
Q_3,43.62710189274798,26.2919002611305,48.97773906474605,0.00011504601110028886
